time,acc_x,acc_y,acc_z
0.000000000000000000e+00,-1.647468433893050921e-01,-1.122205131232472397e-01,-9.007362066056329164e-02
1.000000000000000021e-03,-1.261557993434248848e-01,-5.440490175504599651e-02,-9.038674693315755515e-02
2.000000000000000042e-03,-7.285598804891476286e-03,5.228118814995676850e-02,-4.001172187519146106e-02
3.000000000000000062e-03,6.762010053114093922e-02,5.424576144141378398e-02,-6.501965488225359621e-03
4.000000000000000083e-03,5.341717525616936080e-02,1.409616547976760663e-02,3.456508661289328654e-02
5.000000000000000104e-03,-9.719901565483596989e-03,-8.307090428424530881e-02,-6.822025509079821491e-03
6.000000000000000125e-03,-1.291247831403938562e-01,-1.230285180240781734e-01,-4.430034104302925380e-02
7.000000000000000146e-03,-1.762821215249453510e-01,-8.825522757940919283e-02,-6.455237392129171969e-02
8.000000000000000167e-03,-8.094403505798347664e-02,1.651611560930871941e-02,-8.917705522963768894e-02
8.999999999999999320e-03,5.230716032328396048e-02,1.243904885150983741e-01,-3.651410434577751635e-02
1.000000000000000021e-02,1.741364393213110928e-01,1.792668539972228636e-01,6.972612827456639573e-02
1.099999999999999936e-02,2.456367460778578204e-01,1.564892762314913643e-01,1.244703051666678079e-01
1.200000000000000025e-02,1.714116647949674166e-01,5.648693424557412607e-02,1.371163488805278441e-01
1.299999999999999940e-02,4.382474497669675353e-03,-6.459125855878701528e-02,8.907589482490280153e-02
1.400000000000000029e-02,-9.935990750071055366e-02,-1.410224103176060118e-01,-1.409922014999545744e-03
1.499999999999999944e-02,-1.779854589553329369e-01,-1.164103626527623475e-01,-8.278860286915261379e-02
1.600000000000000033e-02,-1.435735137163832997e-01,-3.117663676608723941e-02,-1.181717592373432990e-01
1.700000000000000122e-02,-1.263309711367183175e-02,3.754334947675823375e-02,-4.653101358676937915e-02
1.799999999999999864e-02,5.005585187614690346e-02,4.821597293612141927e-02,-1.370653132939942190e-02
1.899999999999999953e-02,7.358629399295466000e-02,1.126940707890572088e-02,4.618899238015117259e-02
2.000000000000000042e-02,-1.682248864732673044e-02,-8.526059075491115857e-02,4.796939456313620981e-02
2.100000000000000130e-02,-1.220199744758086458e-01,-1.048540365720473239e-01,-2.695843154346671752e-02
2.199999999999999872e-02,-1.398401644150004119e-01,-5.674802960738115076e-02,-8.225356319085354306e-02
2.299999999999999961e-02,-6.686401368677365176e-02,3.358382741743743544e-02,-8.358088857437476205e-02
2.400000000000000050e-02,8.203782298499798231e-02,1.638891350299611915e-01,-2.639881745697185075e-02
2.500000000000000139e-02,1.875798623506034490e-01,1.871239792843839567e-01,5.453605770322581675e-02
2.599999999999999881e-02,2.379267442472771665e-01,1.333607318085812399e-01,1.187343779324431248e-01
2.699999999999999969e-02,1.619797258774804960e-01,2.714846370020005534e-02,1.467342229432612721e-01
2.800000000000000058e-02,1.575940200344022254e-02,-1.046374229800794559e-01,1.062970060582657389e-01
2.900000000000000147e-02,-1.416040413607468629e-01,-1.617257492754436421e-01,-3.054273022108307083e-03
2.999999999999999889e-02,-1.745924719065566622e-01,-1.029891569475072516e-01,-6.618010880487297520e-02
3.099999999999999978e-02,-1.420445964642320369e-01,-4.037829260609881316e-02,-1.050563067065088396e-01
3.200000000000000067e-02,-2.781925913043993559e-02,5.584490335120919496e-02,-6.061807503553611615e-02
3.300000000000000155e-02,6.664290990896043487e-02,5.551831947868840489e-02,2.634872609409938220e-03
3.400000000000000244e-02,4.373489526821151135e-02,-1.454543053464636346e-02,5.144305976504900263e-02
3.500000000000000333e-02,-2.090939486499512195e-02,-8.067897914357727296e-02,4.568662864210751989e-02
3.599999999999999728e-02,-1.061460230141971772e-01,-1.117284002843495494e-01,-2.719775738545242641e-02
3.699999999999999817e-02,-1.365887858919399289e-01,-4.529026931289521773e-02,-7.601425306112012670e-02
3.799999999999999906e-02,-4.425075602425521809e-02,7.613684595312759928e-02,-7.195072219496974342e-02
3.899999999999999994e-02,8.078327717300699817e-02,1.639920990759153319e-01,-2.566879428395314744e-02
4.000000000000000083e-02,2.122448844290739933e-01,1.770404669276167409e-01,5.396714130429309392e-02
4.100000000000000172e-02,2.365725269994502222e-01,1.213778246717967940e-01,1.116377014866095502e-01
4.200000000000000261e-02,1.348046701381035162e-01,-2.418096771934872061e-02,1.236956930709744162e-01
4.299999999999999656e-02,-2.127933460728020920e-02,-1.435871419797026538e-01,8.800028486790734128e-02
4.399999999999999745e-02,-1.377274037626218250e-01,-1.713996812407737047e-01,-1.139191363255367614e-02
4.499999999999999833e-02,-1.973664917548765274e-01,-9.892533249222699998e-02,-6.779681585558532120e-02
4.599999999999999922e-02,-1.551979880075388674e-01,-1.285579437877515212e-02,-1.266192278351510603e-01
4.700000000000000011e-02,-6.482006190315504467e-04,6.108290715069474019e-02,-9.378332600346903081e-02
4.800000000000000100e-02,6.064215397623404225e-02,4.563761572694411545e-02,-5.395848166943857140e-03
4.900000000000000189e-02,7.574294265362767342e-02,-1.016324439928940893e-02,2.370662767193124770e-02
5.000000000000000278e-02,-9.840269570616555267e-05,-6.969314875878455939e-02,2.617001495083320223e-02
5.099999999999999672e-02,-9.024151610411959568e-02,-8.774844502984120720e-02,-1.105990951000506220e-02
5.199999999999999761e-02,-1.151620654804068750e-01,-3.263228316873944407e-02,-5.416197242397702977e-02
5.299999999999999850e-02,-3.267492913794639575e-02,6.753372247601900635e-02,-8.342830277047165455e-02
5.399999999999999939e-02,8.796106786159386959e-02,1.831929770703386584e-01,-3.321820151047841230e-02
5.500000000000000028e-02,1.900494314802837759e-01,1.592789080436142757e-01,3.993558215023334385e-02
5.600000000000000117e-02,2.351958354349604208e-01,8.164741792558022349e-02,1.216185977768961951e-01
5.700000000000000205e-02,1.293979375449999247e-01,-6.839713742762530690e-02,1.583826488812060951e-01
5.800000000000000294e-02,-3.576768245533834545e-02,-1.372389358875631682e-01,8.258277672326576335e-02
5.899999999999999689e-02,-1.703395756566213615e-01,-1.578620525704944044e-01,7.184704376085528262e-03
5.999999999999999778e-02,-2.035837392552167224e-01,-1.021460795540042321e-01,-9.077106757206791776e-02
6.099999999999999867e-02,-1.277380265815722393e-01,2.026461471815065724e-02,-1.070224387522994286e-01
6.199999999999999956e-02,-1.140269033255300948e-02,8.088995692470357657e-02,-9.487125323304571034e-02
6.300000000000000044e-02,8.796944264993247775e-02,5.124882763858311374e-02,-2.757966517000756332e-02
6.400000000000000133e-02,7.063803300712932776e-02,-2.736307067463436549e-02,4.523896455702332287e-02
6.500000000000000222e-02,-8.005945880068468176e-03,-6.781370068981662502e-02,5.082515163221614646e-02
6.600000000000000311e-02,-8.782138706415326679e-02,-6.139802956022867575e-02,1.432080490515947810e-02
6.700000000000000400e-02,-1.126296700766355324e-01,-1.871437943351616021e-02,-2.734069611974833738e-02
6.800000000000000488e-02,-2.089524533513575227e-02,1.161922042696289653e-01,-6.381520991333025639e-02
6.900000000000000577e-02,8.942774214139984079e-02,1.705021830756233980e-01,-3.852182078355004258e-02
7.000000000000000666e-02,1.956811630104061672e-01,1.482959333352313891e-01,2.655641465982125013e-02
7.099999999999999367e-02,2.188087429847716814e-01,5.455317256618676808e-02,1.034053594033712276e-01
7.199999999999999456e-02,1.375738515601096779e-01,-8.764295260157448086e-02,1.295038143492750760e-01
7.299999999999999545e-02,-4.228116679669780692e-02,-1.644505710880087013e-01,1.009623629106898290e-01
7.399999999999999634e-02,-1.767266480713988175e-01,-1.597944636643975347e-01,1.579494234276394371e-03
7.499999999999999722e-02,-1.984110245296895336e-01,-7.660635830933154589e-02,-8.537747235935828904e-02
7.599999999999999811e-02,-1.320565764522654562e-01,3.237719531507832899e-02,-1.190867664419729965e-01
7.699999999999999900e-02,1.147420631852812817e-03,8.520248925077664182e-02,-1.025203955768668879e-01
7.799999999999999989e-02,8.565524541884518561e-02,5.789694907225802212e-02,-2.069442775791320577e-02
7.900000000000000078e-02,7.125824749540959901e-02,-1.076757011924496521e-02,4.414254027184012774e-02
8.000000000000000167e-02,-6.112644578549794420e-03,-5.699855661678199931e-02,5.255915030110617364e-02
8.100000000000000255e-02,-7.529824752323382997e-02,-7.554503152522934473e-02,3.564611852823459937e-02
8.200000000000000344e-02,-9.615669292028967974e-02,2.669905194763889933e-02,-2.610787214632155628e-02
8.300000000000000433e-02,-1.628373879876378804e-03,1.224782103337489492e-01,-6.684418800268498995e-02
8.400000000000000522e-02,8.584217843716589191e-02,1.659192087729638165e-01,-2.918584285021854838e-02
8.500000000000000611e-02,1.770760123134836606e-01,1.339748661691405884e-01,4.234497474011010565e-02
8.599999999999999312e-02,1.965675393721304787e-01,9.062562011256110328e-03,1.030040731994966985e-01
8.699999999999999400e-02,9.777658675932859866e-02,-1.129371826549093183e-01,1.256244452681689050e-01
8.799999999999999489e-02,-8.403311926581907843e-02,-2.026027693474824753e-01,7.911805551990890029e-02
8.899999999999999578e-02,-2.114800334311070229e-01,-1.509432145627034316e-01,2.966712314755059685e-02
8.999999999999999667e-02,-2.215124646969948152e-01,-5.571244675738314112e-02,-7.565019722994949236e-02
9.099999999999999756e-02,-1.420565184228938516e-01,4.916544344847746661e-02,-1.204475576359557570e-01
9.199999999999999845e-02,-2.312894093440545640e-02,8.402040247267643369e-02,-1.114200095451163136e-01
9.299999999999999933e-02,1.079919908739709611e-01,4.567738540211645215e-02,-2.857987340269837334e-02
9.400000000000000022e-02,7.231948825104965450e-02,-2.654735115378986654e-02,1.300343454591064429e-02
9.500000000000000111e-02,1.930730467793242630e-02,-5.238354648033900079e-02,5.273722087370170258e-02
9.600000000000000200e-02,-6.213153399893599910e-02,-3.797512197219275742e-02,2.405532134414158432e-02
9.700000000000000289e-02,-7.775284795535465643e-02,3.923229457009876076e-02,-4.497658422213709171e-03
9.800000000000000377e-02,-7.506775607920446874e-03,1.291873980437289737e-01,-6.483014463304551112e-02
9.900000000000000466e-02,1.108910746769940781e-01,1.446271150229882507e-01,-4.788350740423038404e-02
1.000000000000000056e-01,1.881272154136663100e-01,1.107212994964299341e-01,1.738087503077558049e-02
